NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
6,Goblet,PY_p,0,0,39,5,9,0,14,0,0,0,Goblet,GE_p,777,0,0,0,11,0,0,35,0,6
66,Goblet,EL_p,0,39,0,0,0,7,10,56,0,0,Goblet,EL_p,0,33,19,0,0,0,0,23,14,0
2,Goblet,HP_p,687,19,0,0,0,19,0,0,0,14,Goblet,HP_p,299,0,0,0,0,10,0,37,10,0
1,Goblet,HP_p,1255,14,0,0,0,0,6,0,4,0,Goblet,PY_p,0,39,0,0,4,0,0,21,0,25
2,Goblet,AK_p,508,0,44,0,0,12,0,37,0,0,Goblet,DF_p,836,0,0,5,0,0,0,0,11,5
1,Goblet,HP_p,0,19,60,0,0,18,5,0,0,0,Goblet,HP_p,0,51,0,0,14,0,5,0,0,8
19,Goblet,HY_p,0,0,46,10,0,0,16,16,0,0,Goblet,CY_p,807,0,37,0,0,0,11,0,0,6
19,Goblet,DF_p,986,18,0,0,10,0,0,0,6,0,Goblet,AK_p,717,37,44,10,0,0,0,0,0,0
6,Goblet,HP_p,269,0,0,0,0,0,14,56,0,14,Goblet,AK_p,837,29,35,0,0,0,0,0,0,8
4,Goblet,AK_p,717,0,19,11,0,12,0,0,0,0,Goblet,AK_p,538,0,0,9,0,0,0,33,0,14
1,Goblet,CY_p,269,54,39,0,0,15,0,0,0,0,Goblet,HP_p,209,0,0,0,0,0,24,35,7,0
3,Goblet,AN_p,0,47,0,9,0,0,0,40,3,0,Goblet,HP_p,0,16,69,0,0,14,0,0,0,12
12,Goblet,HP_p,0,0,0,0,10,0,0,63,3,15,Goblet,AK_p,448,0,0,0,0,0,18,0,10,5
2,Goblet,HP_p,777,33,0,0,0,13,0,19,0,0,Goblet,DF_p,0,18,58,0,0,0,0,23,9,0
0,Goblet,HP_p,0,33,0,0,10,5,19,0,0,0,Goblet,AK_p,0,66,37,0,0,7,0,0,4,0
4,Goblet,HY_p,717,0,0,10,0,12,0,0,3,0,Goblet,HP_p,657,29,0,0,0,0,0,63,4,0
46,Goblet,HP_p,657,18,0,0,0,7,0,0,10,0,Goblet,AK_p,239,0,65,4,0,0,22,0,0,0
2,Goblet,AK_p,508,0,16,0,0,25,11,0,0,0,Goblet,AK_p,0,66,39,0,0,7,0,0,0,8
